,Unnamed: 0,Station,Features,Iteration,Persistence_Performance,Model_Performance,Error_Reduction,p_value
49,49,Bondville IL,GHI_Harmonics,1,147.95893128363653,113.69889659009591,0.23155097428937427,1.411002938317573e-163
110,110,Bondville IL,GHI_Harmonics_Weather,3,147.95893128363653,111.87588859468975,0.2438720148618522,2.973406073615798e-175
108,108,Bondville IL,GHI_Only,3,147.95893128363653,115.7690184912483,0.21755978171186116,5.699417091355439e-100
106,106,Goodwin Creek MS,GHI_Harmonics,3,151.48053461722208,115.43599947056732,0.23794829637838358,0.0
47,47,Goodwin Creek MS,GHI_Harmonics_Weather,1,151.48053461722208,113.51792385683346,0.2506104883793603,0.0
45,45,Goodwin Creek MS,GHI_Only,1,151.48053461722208,119.79263284834904,0.2091879451636843,7.867441904041107e-165
37,37,Hanford California,GHI_Harmonics,1,83.97310389651767,71.31245881841025,0.15077024059643523,1.0
8,8,Hanford California,GHI_Harmonics_Weather,0,83.97310389651767,69.92524058177426,0.16729003291405034,1.0
36,36,Hanford California,GHI_Only,1,83.97310389651767,70.91735415872004,0.15547537404222406,1.0
118,118,Millbrook NY,GHI_Harmonics,3,145.58513607999345,108.8223696389321,0.25251730658040267,0.0
119,119,Millbrook NY,GHI_Harmonics_Weather,3,145.58513607999345,110.27988208443364,0.24250589686684035,0.0
117,117,Millbrook NY,GHI_Only,3,145.58513607999345,108.29883403453836,0.25611338526322974,0.0
31,31,Natural Energy Laboratory of Hawaii Authority,GHI_Harmonics,1,120.56930830830022,95.12888239501328,0.2110025036241796,1.211302633359158e-62
2,2,Natural Energy Laboratory of Hawaii Authority,GHI_Harmonics_Weather,0,120.56930830830022,94.0157840681867,0.2202345241312587,2.079725922512428e-191
0,0,Natural Energy Laboratory of Hawaii Authority,GHI_Only,0,120.56930830830022,95.11155665995044,0.21114620300593717,2.1897872352870266e-88
10,10,Salt Lake City Utah,GHI_Harmonics,0,130.50249959483472,99.88102283844788,0.23464283712155684,1.7944961330078486e-193
71,71,Salt Lake City Utah,GHI_Harmonics_Weather,2,130.50249959483472,97.31444446790164,0.25430972762951326,0.0
9,9,Salt Lake City Utah,GHI_Only,0,130.50249959483472,101.08928819211664,0.22538427611759132,3.2367450362590614e-109
34,34,Seattle Washington,GHI_Harmonics,1,121.79087557340084,94.255395692367,0.22608820037950028,1.695109410429599e-174
125,125,Seattle Washington,GHI_Harmonics_Weather,4,121.79087557340084,92.67948914698668,0.23902764709881183,1.277173513250216e-248
63,63,Seattle Washington,GHI_Only,2,121.79087557340084,92.72628059748776,0.23864345205726395,8.143602256391168e-179
115,115,Sterling Virginia,GHI_Harmonics,3,153.40868464738878,113.8177760030064,0.258074754603251,0.0
26,26,Sterling Virginia,GHI_Harmonics_Weather,0,153.40868464738878,114.68262132605636,0.2524372294198638,0.0
114,114,Sterling Virginia,GHI_Only,3,153.40868464738878,114.2432201625788,0.25530148162623356,0.0
43,43,Table Mountain Boulder CO,GHI_Harmonics,1,135.914752545711,105.16337591392008,0.2262548844464002,1.744592578833942e-206
104,104,Table Mountain Boulder CO,GHI_Harmonics_Weather,3,135.914752545711,105.16791905719435,0.22622145802881724,3.7333258403695125e-97
72,72,Table Mountain Boulder CO,GHI_Only,2,135.914752545711,107.14871997684304,0.21164761021209477,1.533976204446662e-85
142,142,Titusville FL,GHI_Harmonics,4,130.59364148935123,99.334937620306,0.2393585438965963,0.0
53,53,Titusville FL,GHI_Harmonics_Weather,1,130.59364148935123,99.99111254091667,0.23433398900152366,0.0
51,51,Titusville FL,GHI_Only,1,130.59364148935123,101.1086806775403,0.22577638907645564,4.721486967798434e-303
